,NAMELSAD,NAMELSAD.1,coverage,Notes,Resolution,Confidence
239,Ocean Acres CDP,Barnegat township,36.0%,"HCV only, 28 units listed as ""(PART)""",BUILD FROM TRACTS,Low - too even a split
239.1,Ocean Acres CDP,Stafford township,64.0%,"HCV only, 28 units listed as ""(PART)""",BUILD FROM TRACTS,Low - too even a split
262,Pluckemin CDP,Bridgewater township,0.224623227,Not in 2023 PSH,,
262.1,Pluckemin CDP,Bedminster township,0.775376773,Not in 2023 PSH,,
265,Port Colden CDP,Mansfield township,1.4%,"6 units of HCV, no rental housing units in Mansfield portion",Washington township,High
265.1,Port Colden CDP,Washington township,98.6%,"6 units of HCV, no rental housing units in Mansfield portion",Washington township,High
272,Pottersville CDP,Tewksbury township,0.700497226,Not in 2023 PSH,,
272.1,Pottersville CDP,Bedminster township,0.299502774,Not in 2023 PSH,,
285,Richwood CDP,Harrison township,90.6%,"18 units of HCV listed as ""(PART)"", no rental housing units in Mantua portion",Harrison township,Medium - numbers don't align with tracts
285.1,Richwood CDP,Mantua township,9.4%,"18 units of HCV listed as ""(PART)"", no rental housing units in Mantua portion",Harrison township,Medium - numbers don't align with tracts
286,Ringoes CDP,West Amwell township,0.00756194,Not in 2023 PSH,,
286.1,Ringoes CDP,East Amwell township,0.99243806,Not in 2023 PSH,,
287,Rio Grande CDP,Lower township,8.5%,"20 units of HCV, very few rental housing units in Lower township portion",Middle township,High
287.1,Rio Grande CDP,Middle township,91.5%,"20 units of HCV, very few rental housing units in Lower township portion",Middle township,High
288,Roadstown CDP,Stow Creek township,0.49077908,Not in 2023 PSH,,
288.1,Roadstown CDP,Hopewell township,0.50922092,Not in 2023 PSH,,
296,Rutgers University-Livingston Campus CDP,Piscataway township,0.813643366,Not in 2023 PSH,,
296.1,Rutgers University-Livingston Campus CDP,Edison township,0.186356634,Not in 2023 PSH,,
303,Sheppards Mill CDP,Greenwich township,0.706594571,Not in 2023 PSH,,
303.1,Sheppards Mill CDP,Hopewell township,0.293405429,Not in 2023 PSH,,
305,Sicklerville CDP,Gloucester township,0.502311639,Not in 2023 PSH,,
305.1,Sicklerville CDP,Winslow township,0.497688361,Not in 2023 PSH,,
307,Silver Lake CDP,Belleville township,75.6%,"46 units of HCV listed as ""(PART)"", 1 unit listed without (and there are three Silver Lake CDPs)",BUILD FROM TRACTS,Low - too even a split
307.1,Silver Lake CDP,Bloomfield township,24.4%,"46 units of HCV listed as ""(PART)"", 1 unit listed without (and there are three Silver Lake CDPs)",BUILD FROM TRACTS,Low - too even a split
330,The Hills CDP,Bernards township,0.591232896,Not in 2023 PSH,,
330.1,The Hills CDP,Bedminster township,0.408767104,Not in 2023 PSH,,
342,Upper Greenwood Lake CDP,West Milford township,0.917977557,Not in 2023 PSH,,
342.1,Upper Greenwood Lake CDP,Vernon township,0.082022443,Not in 2023 PSH,,
