"","gsl","states","entities","sumlevel","program_label","program","sub_program","name","code","total_units","pct_occupied","number_reported","pct_reported","months_since_report","pct_movein","people_per_unit","people_total","rent_per_month","spending_per_month","hh_income","person_income","pct_lt5k","pct_5k_lt10k","pct_10k_lt15k","pct_15k_lt20k","pct_ge20k","pct_wage_major","pct_welfare_major","pct_other_major","pct_median","pct_lt50_median","pct_lt30_median","pct_2adults","pct_1adult","pct_female_head","pct_female_head_child","pct_disabled_lt62","pct_disabled_ge62","pct_disabled_all","pct_lt24_head","pct_age25_50","pct_age51_61","pct_age62plus","pct_age85plus","pct_minority","pct_black_nonhsp","pct_native_american_nonhsp","pct_asian_pacific_nonhsp","pct_white_nothsp","pct_black_hsp","pct_wht_hsp","pct_oth_hsp","pct_hispanic","pct_multi","months_waiting","months_from_movein","pct_utility_allow","ave_util_allow","pct_bed1","pct_bed2","pct_bed3","pct_overhoused","tpoverty","tminority","tpct_ownsfd","fedhse","cbsa","place","latitude","longitude","state","pha_total_units","ha_size","Quarter"
"11","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001000500",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 000500","34001000500",7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"12","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001000500",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 000500","34001000500",7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"13","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001100",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 001100","34001001100",706,93,640,97,7,5,1.6,1040,302,943,13006,8004,9,25,35,11,20,17,1,71,21,95,80,0,25,67,22,38,27,23,2,38,23,37,3,94,76,1,1,6,4,7,5,16,2,94,130,48,107,63,26,11,7,45,96,7,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"14","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001100",7,"Public Housing",2,"NA","NJ New Jersey Atlantic County 001100","34001001100",377,95,343,96,7,3,1.8,622,285,951,12510,6899,13,25,28,12,21,24,2,57,19,93,81,1,33,76,29,31,54,22,2,52,27,19,1,97,87,1,-1,3,4,4,1,9,1,94,149,3,196,52,34,14,7,45,96,7,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"15","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001100",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 001100","34001001100",43,84,36,99,7,-1,2.5,91,332,859,12408,4909,16,32,23,10,19,11,-1,72,18,92,81,-1,58,86,56,26,100,15,-1,67,28,6,-1,97,83,-1,-1,3,6,6,3,14,6,-1,110,100,160,25,31,44,17,45,96,7,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"16","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001100",7,"Project Based Section 8",5,"NA","NJ New Jersey Atlantic County 001100","34001001100",286,94,261,98,7,7,1.3,327,320,943,13740,10967,3,24,44,10,19,8,-1,91,23,99,79,-1,10,53,9,65,17,27,1,16,16,66,5,89,61,1,2,10,3,11,11,25,2,-1,108,100,97,83,15,2,5,45,96,7,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"17","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001200",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 001200","34001001200",385,87,328,98,7,8,2.3,740,385,872,15398,6825,10,18,27,16,29,25,2,65,22,95,73,1,45,81,44,21,58,16,2,51,23,23,1,97,80,-1,1,3,3,6,6,16,1,23,126,78,134,36,32,33,15,34,95,37,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"18","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001200",7,"Public Housing",2,"NA","NJ New Jersey Atlantic County 001200","34001001200",33,90,27,92,8,-1,3.1,83,383,951,14783,4809,13,29,21,4,33,33,-1,56,19,93,70,7,56,89,59,14,100,11,4,52,26,19,-1,96,89,-1,-1,4,-1,7,-1,7,0,-1,200,33,203,7,30,63,19,34,95,37,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"19","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001200",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 001200","34001001200",243,85,201,98,6,9,2.4,488,425,856,16792,6916,11,16,26,15,33,26,2,66,24,93,69,1,47,80,46,24,62,18,-1,57,20,22,1,96,85,-1,1,4,3,6,1,10,0,23,101,83,168,36,24,39,13,34,95,37,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"20","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001200",7,"Project Based Section 8",5,"NA","NJ New Jersey Atlantic County 001200","34001001200",110,90,100,100,9,7,1.7,169,306,880,12764,7553,8,18,30,23,22,20,2,66,20,98,81,-1,37,82,36,15,44,14,5,39,29,27,-1,99,70,-1,-1,-1,3,7,19,29,2,-1,157,81,57,42,47,11,19,34,95,37,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"21","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001300",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 001300","34001001300",199,85,168,99,6,10,2.4,407,419,917,17759,7330,12,15,20,10,43,37,3,54,25,91,64,3,55,88,51,16,32,11,6,62,19,13,1,99,83,1,-1,1,6,8,1,15,1,30,134,99,128,14,58,27,20,25,90,48,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"22","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001300",7,"Public Housing",2,"NA","NJ New Jersey Atlantic County 001300","34001001300",4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"23","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001300",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 001300","34001001300",127,81,98,95,6,8,2.5,248,427,801,17159,6781,3,21,22,11,43,36,3,50,24,92,66,2,57,89,53,20,50,14,4,62,23,10,-1,99,87,2,-1,1,3,6,1,10,1,30,117,99,128,12,58,30,20,25,90,48,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"24","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001300",7,"Project Based Section 8",5,"NA","NJ New Jersey Atlantic County 001300","34001001300",68,92,67,100,5,13,2.2,147,390,1105,17154,7818,24,7,18,9,42,36,3,61,25,93,63,3,51,87,46,11,17,6,9,60,13,18,1,100,78,-1,-1,-1,10,12,-1,22,0,-1,158,100,127,18,61,21,21,25,90,48,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"25","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001400",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 001400","34001001400",899,94,837,99,7,8,2.3,1887,337,1036,14444,6407,10,23,25,12,30,30,4,56,21,94,75,2,54,85,52,13,47,10,7,63,14,16,0,96,56,0,0,2,3,15,21,39,0,49,136,100,112,16,52,32,26,61,95,20,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"26","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001400",7,"Public Housing",2,"NA","NJ New Jersey Atlantic County 001400","34001001400",15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"27","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001400",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 001400","34001001400",68,82,55,98,6,11,2.5,140,379,837,15595,6126,8,20,28,12,32,29,2,60,22,93,76,5,44,87,45,27,100,21,-1,62,18,20,2,91,85,-1,2,9,-1,4,-1,4,4,49,105,96,155,31,25,44,15,61,95,20,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"28","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001400",7,"Project Based Section 8",5,"NA","NJ New Jersey Atlantic County 001400","34001001400",815,95,772,99,7,8,2.2,1710,331,1051,14162,6393,10,23,25,12,29,30,4,56,21,95,75,2,55,85,52,12,42,9,8,63,13,15,0,96,54,0,0,1,4,16,23,42,0,-1,138,100,108,15,54,31,27,61,95,20,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"29","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001500",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 001500","34001001500",677,93,602,96,7,8,1.5,932,350,899,14934,9646,4,20,38,19,20,11,1,86,24,96,78,-1,13,61,12,51,30,27,0,17,16,67,6,88,59,3,6,9,3,7,11,21,1,26,113,75,87,65,23,12,10,39,91,1,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"30","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001500",7,"Public Housing",2,"NA","NJ New Jersey Atlantic County 001500","34001001500",219,93,186,91,8,8,1.7,316,367,951,15872,9342,2,18,32,23,25,13,1,82,25,96,74,-1,12,61,12,67,76,51,1,22,31,47,4,93,75,1,2,7,4,11,-1,15,1,28,143,19,185,32,59,10,25,39,91,1,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"31","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001500",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 001500","34001001500",108,82,85,96,6,5,2.8,236,449,816,18426,6637,6,22,19,17,36,39,4,53,25,88,69,-1,61,86,56,18,50,10,1,60,25,14,-1,95,82,-1,-1,5,2,7,4,13,1,19,111,99,184,16,29,54,13,39,91,1,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"32","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001500",7,"Project Based Section 8",5,"NA","NJ New Jersey Atlantic County 001500","34001001500",350,96,331,99,7,9,1.1,380,316,889,13509,11767,4,21,45,17,13,3,0,96,23,98,82,-1,2,54,2,79,15,19,-1,3,5,91,10,83,43,4,9,12,2,5,19,26,1,-1,97,100,52,96,2,2,1,39,91,1,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"33","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001900",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 001900","34001001900",94,84,80,100,7,19,1.3,102,329,882,13695,10741,11,26,22,14,28,14,4,75,23,98,66,-1,13,48,10,60,71,53,1,33,31,35,1,75,64,1,-1,25,-1,9,1,10,1,15,92,35,114,80,19,1,6,32,83,2,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"34","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001001900",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 001900","34001001900",94,84,80,100,7,19,1.3,102,329,882,13695,10741,11,26,22,14,28,14,4,75,23,98,66,-1,13,48,10,60,71,53,1,33,31,35,1,75,64,1,-1,25,-1,9,1,10,1,15,92,35,114,80,19,1,6,32,83,2,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"35","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001002300",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 002300","34001002300",18,86,15,98,6,13,1.6,24,336,861,13331,8332,-1,14,36,43,7,20,-1,73,21,100,93,-1,20,60,20,71,75,46,-1,20,27,53,-1,67,20,-1,7,33,-1,40,-1,40,0,89,121,80,109,40,40,20,33,43,91,23,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"36","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001002300",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 002300","34001002300",18,86,15,98,6,13,1.6,24,336,861,13331,8332,-1,14,36,43,7,20,-1,73,21,100,93,-1,20,60,20,71,75,46,-1,20,27,53,-1,67,20,-1,7,33,-1,40,-1,40,0,89,121,80,109,40,40,20,33,43,91,23,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"37","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001002400",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 002400","34001002400",631,85,506,95,7,14,1.4,719,304,843,13021,9164,5,28,38,13,16,8,2,84,21,97,81,1,15,57,14,54,51,38,1,25,20,53,4,72,54,0,5,28,2,9,2,12,0,28,75,21,97,79,15,5,3,34,79,6,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"38","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001002400",7,"Public Housing",2,"NA","NJ New Jersey Atlantic County 002400","34001002400",231,94,214,98,8,12,1.4,300,263,951,11157,7958,5,39,41,6,8,6,2,86,18,99,90,-1,11,50,10,77,78,56,-1,26,37,37,2,86,71,0,2,14,2,9,1,12,0,34,98,1,187,85,8,7,1,34,79,6,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"39","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001002400",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 002400","34001002400",342,77,240,91,6,13,1.2,296,353,725,15245,12361,3,19,36,18,24,7,1,90,25,95,71,0,8,59,8,26,40,30,1,14,7,78,7,53,32,-1,9,47,1,9,2,12,0,20,56,22,87,86,11,3,4,34,79,6,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"40","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001002400",7,"Project Based Section 8",5,"NA","NJ New Jersey Atlantic County 002400","34001002400",58,90,52,100,5,33,2.4,123,246,990,10432,4410,17,26,29,14,14,19,10,52,15,98,88,4,62,79,58,20,67,11,6,73,15,6,-1,100,85,-1,-1,-1,6,6,4,15,0,-1,73,100,101,27,65,8,8,34,79,6,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"41","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001002500",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 002500","34001002500",941,94,851,97,8,10,1.3,1145,333,901,14459,10746,3,26,39,14,18,9,1,88,24,96,79,0,8,54,8,70,42,41,1,16,19,64,6,77,48,0,11,22,3,9,5,17,1,18,104,53,129,87,4,9,3,28,81,15,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"42","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001002500",7,"Public Housing",2,"NA","NJ New Jersey Atlantic County 002500","34001002500",591,94,528,95,8,10,1.3,671,317,951,14041,11048,3,30,38,15,14,7,1,89,23,96,81,0,6,52,6,84,73,62,1,18,28,54,2,78,61,0,3,22,3,8,3,14,1,17,106,70,126,90,2,8,2,28,81,15,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"43","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001002500",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 002500","34001002500",115,82,90,95,7,12,2.2,197,424,810,16948,7743,8,17,23,14,38,30,4,59,25,94,64,1,44,80,40,17,62,23,7,48,17,29,3,89,76,-1,-1,11,3,9,1,13,0,24,111,90,146,37,27,37,17,28,81,15,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"44","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001002500",7,"Project Based Section 8",5,"NA","NJ New Jersey Atlantic County 002500","34001002500",235,97,233,100,7,10,1.2,277,335,817,14445,12151,2,21,47,12,18,4,-1,96,24,96,79,-1,-1,47,-1,-1,1,1,-1,0,-1,100,15,70,9,-1,34,27,2,12,12,26,0,-1,97,0,96,100,-1,-1,-1,28,81,15,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"45","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001010101",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 010101","34001010101",2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","07810","NA","NA","NJ","NA","NA",2021-12-31
"46","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001010101",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 010101","34001010101",2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","07810","NA","NA","NJ","NA","NA",2021-12-31
"47","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001010102",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 010102","34001010102",3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","07810","NA","NA","NJ","NA","NA",2021-12-31
"48","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001010102",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 010102","34001010102",3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","07810","NA","NA","NJ","NA","NA",2021-12-31
"49","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001010104",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 010104","34001010104",5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","07810","NA","NA","NJ","NA","NA",2021-12-31
"50","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001010104",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 010104","34001010104",5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","07810","NA","NA","NJ","NA","NA",2021-12-31
"51","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001010105",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 010105","34001010105",9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","07810","NA","NA","NJ","NA","NA",2021-12-31
"52","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001010105",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 010105","34001010105",9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","07810","NA","NA","NJ","NA","NA",2021-12-31
